name	glycemic_index
Cabbage, red, cooked, NS as to fat added in cooking	32.0
Cabbage, red, pickled	32.0
Cabbage, red, raw	32.0
Cactus, cooked, fat added in cooking	7.0
Cactus, cooked, fat not added in cooking	7.0
Cactus, cooked, NS as to fat added in cooking	7.0
Cactus, raw	7.0
Caesar dressing	50.0
Caesar dressing, low-calorie	50.0
Cake made with glutinous rice	64.0
Cake, angel food, NS as to icing	67.0
Cake, angel food, with fruit and icing or filling	67.0
Cake, angel food, with icing	67.0
Cake, angel food, without icing	67.0
Cake, applesauce, NS as to icing	44.0
Cake, applesauce, with icing	44.0
Cake, applesauce, without icing	44.0
Cake, banana, NS as to icing	47.0
Cake, banana, with icing	47.0
Cake, banana, without icing	47.0
Cake, black forest (chocolate-cherry)	38.0
Cake, butter, with icing	42.0
Cake, butter, without icing	42.0
Cake, carrot, NS as to icing	62.0
Cake, carrot, with icing	62.0
Cake, carrot, without icing	62.0
Cake, chocolate, devil's food, or fudge, made from home recipe or purchased ready-to-eat, NS as to icing	38.0
Cake, chocolate, devil's food, or fudge, pudding type mix, made by "cholesterol free" recipe (water, oil and egg whites added to dry mix), with "light" icing, coating or filling	38.0
Cake, chocolate, devil's food, or fudge, pudding-type mix (oil, eggs, and water added to dry mix), NS as to icing	38.0
Cake, chocolate, devil's food, or fudge, pudding-type mix (oil, eggs, and water added to dry mix), with icing, coating, or filling	38.0
Cake, chocolate, devil's food, or fudge, pudding-type mix (oil, eggs, and water added to dry mix), without icing or filling	38.0
Cake, chocolate, devil's food, or fudge, pudding-type mix, made by "Lite" recipe (eggs and water added to dry mix, no oil added to dry mix), with icing, coating, or filling	38.0
Cake, chocolate, devil's food, or fudge, standard-type mix (eggs and water added to dry mix), with icing, coating, or filling	38.0
Cake, chocolate, devil's food, or fudge, standard-type mix (eggs and water added to dry mix), without icing or filling	38.0
Cake, chocolate, devil's food, or fudge, with icing, coating, or filling, made from home recipe or purchased ready-to-eat	38.0
Cake, chocolate, devil's food, or fudge, without icing or filling, made from home recipe or purchased ready-to-eat	38.0
Cake, chocolate, with icing, diet	38.0
Cake, coconut, with icing	42.0
Cake, cupcake, chocolate, NS as to icing	38.0
Cake, cupcake, chocolate, with icing or filling	38.0
Cake, cupcake, chocolate, with or without icing, fruit filling or cream filling, lowfat, cholesterol free	38.0
Cake, cupcake, chocolate, without icing or filling	38.0
Cake, cupcake, not chocolate, NS as to icing	57.5
Cake, cupcake, not chocolate, with fruit and cream filling	57.5
